rank,word,lemma,meaning
670,carte,carte,card/map
671,aviez,avoir,you had
672,appel,appel,call
673,manque,manquer,lacks/misses
674,envoyé,envoyer,sent
675,début,début,beginning
676,puisse,pouvoir,(that) can
677,écoutez,écouter,listen
678,bonsoir,bonsoir,good evening
679,content,content,happy/satisfied
680,secret,secret,secret
681,venue,venir,came (f)
682,cher,cher,dear/expensive
683,effet,effet,effect
684,voyons,voir,let's see / we see
685,sac,sac,bag
686,continue,continuer,continues
687,acheter,acheter,to buy
688,voix,voix,voice
689,certains,certain,some/certain
690,occuper,occuper,to occupy
691,noël,noël,Christmas
692,gagner,gagner,to win/earn
693,grâce,grâce,grace/thanks to
694,maître,maître,master/teacher
695,prix,prix,price/prize
696,mauvaise,mauvais,bad (f)
697,général,général,general
698,âge,âge,age
699,long,long,long
700,rue,rue,street
701,tirer,tirer,to pull/shoot
702,apprendre,apprendre,to learn
703,cheveux,cheveu,hair
704,noir,noir,black
705,promis,promettre,promised
706,avaient,avoir,they had
707,patron,patron,boss
708,avocat,avocat,lawyer
709,force,force,force
710,accident,accident,accident
711,dix,dix,ten
712,probablement,probablement,probably
713,laissez,laisser,let/leave
714,bout,bout,end/tip
715,ordre,ordre,order
716,armes,arme,weapons
717,cru,croire,believed
718,déteste,détester,hates
719,retrouver,retrouver,to find again
720,millions,million,millions
721,incroyable,incroyable,incredible
722,voyage,voyage,trip
723,ailleurs,ailleurs,elsewhere
724,oublie,oublier,forgets
725,ressemble,ressembler,resembles
726,bienvenue,bienvenue,welcome
727,disparu,disparaître,disappeared
728,protéger,protéger,to protect
729,utiliser,utiliser,to use
730,situation,situation,situation
731,petits,petit,small (pl)
732,aurai,avoir,I will have
733,connaissez,connaître,you know
734,simplement,simplement,simply
735,scène,scène,scene/stage
736,sœur,sœur,sister
737,prête,prêt,ready
738,oncle,oncle,uncle
739,devriez,devoir,you should
740,liste,liste,list
741,soeur,soeur,sister
742,complètement,complètement,completely
743,dos,dos,back
744,armée,armée,army
745,paix,paix,peace
746,battre,battre,to beat/fight
747,crime,crime,crime
748,anniversaire,anniversaire,birthday
749,finir,finir,to finish
750,réussi,réussir,succeeded
751,agit,agir,acts/is about
752,retourner,retourner,to go back
753,sale,sale,dirty
754,libre,libre,free
755,bouge,bouger,moves
756,contrôle,contrôle,control
757,rappelle,rappeler,calls back
758,arrêté,arrêter,stopped/arrested
759,hôtel,hôtel,hotel
760,idiot,idiot,idiot
761,okay,okay,okay
762,rencontré,rencontrer,met
763,restez,rester,stay
764,absolument,absolument,absolutely
765,mots,mot,words
766,victime,victime,victim
767,impression,impression,impression
768,décidé,décider,decided
769,sympa,sympa,nice
770,pars,partir,leave/go
771,fasse,faire,may do
772,avion,avion,airplane
773,bordel,bordel,mess
774,habitude,habitude,habit
775,table,table,table
776,rouge,rouge,red
777,système,système,system
778,photos,photo,photos
779,médecin,médecin,doctor
780,seras,être,you will be
781,bateau,bateau,boat
782,stupide,stupide,stupid
783,faim,faim,hunger
784,autour,autour,around
785,fond,fond,bottom/background
786,surprise,surprise,surprise
787,croyez,croire,you believe
788,devais,devoir,had to
789,ligne,ligne,line
790,porter,porter,to carry
791,imagine,imaginer,imagines
792,colère,colère,anger
793,clair,clair,clear
794,seront,être,they will be
795,savait,savoir,knew
796,balle,balle,ball
797,gagné,gagner,won
798,or,or,gold
799,hors,hors,outside of
800,magnifique,magnifique,magnificent
801,risque,risque,risk
802,terminé,terminer,finished
803,su,savoir,known
804,heureuse,heureux,happy (f)
805,mission,mission,mission
806,jolie,joli,pretty
807,parlez,parler,you speak
808,présent,présent,present
809,sorti,sortir,went out
810,cadeau,cadeau,gift
811,expliquer,expliquer,to explain
812,volé,voler,stolen
813,plusieurs,plusieurs,several
814,gauche,gauche,left
815,ferait,faire,would do
816,neuf,neuf,nine
817,ouvre,ouvrir,opens
818,disais,dire,said
819,dedans,dedans,inside
820,disent,dire,say
821,pouvons,pouvoir,we can
822,suivre,suivre,to follow
823,pourra,pouvoir,will be able to
824,inspecteur,inspecteur,inspector
825,réponse,réponse,answer
826,lumière,lumière,light
827,pieds,pied,feet
828,pote,pote,buddy
829,montre,montre,watch
830,pied,pied,foot
831,marcher,marcher,to walk
832,auras,avoir,you will have
833,envoyer,envoyer,to send
834,vraie,vrai,true
835,espèce,espèce,kind/species
836,doivent,devoir,must
837,allô,allô,hello (phone)
838,pareil,pareil,similar
839,soleil,soleil,sun
840,camp,camp,camp
841,fallait,falloir,was necessary
842,coin,coin,corner
843,ignore,ignorer,doesn't know
844,moitié,moitié,half
845,selon,selon,according to
846,tenir,tenir,to hold
847,grosse,gros,big
848,vouloir,vouloir,to want
849,vieille,vieux,old
850,devenu,devenir,become
851,continuer,continuer,to continue
852,rend,rendre,makes
853,sortie,sortie,exit
854,recherche,recherche,research
855,arrière,arrière,back
856,lire,lire,to read
857,doucement,doucement,gently
858,joli,joli,pretty
859,avance,avance,advance
860,exact,exact,exact
861,disait,dire,said
862,club,club,club
863,arrivée,arrivée,arrival
864,tue,tuer,kills
865,laquelle,lequel,which one
866,chaud,chaud,hot
867,poser,poser,to put
868,aimé,aimer,loved
869,professeur,professeur,teacher/professor
870,quitter,quitter,to leave
871,loi,loi,law
872,tueur,tueur,killer
873,flics,flic,cops
874,connaître,connaître,to know
875,lettre,lettre,letter
876,forme,forme,form
877,connaît,connaître,knows
878,conseil,conseil,advice
879,bar,bar,bar
880,normal,normal,normal
881,danger,danger,danger
882,dangereux,dangereux,dangerous
883,folle,fou,crazy
884,jure,jurer,swears
885,tiré,tirer,shot
886,essaye,essayer,tries
887,bonnes,bon,good
888,offre,offre,offer
889,but,but,goal
890,froid,froid,cold
891,prêts,prêt,ready
892,tranquille,tranquille,quiet
893,gamin,gamin,kid
894,classe,classe,class
895,joué,jouer,played
896,poste,poste,post
897,con,con,idiot
898,attaque,attaque,attack
899,boîte,boîte,box
900,enquête,enquête,investigation
901,visite,visite,visit
902,juge,juge,judge
903,bord,bord,edge
904,debout,debout,standing
905,envoie,envoyer,sends
906,preuve,preuve,proof
907,oublier,oublier,to forget
908,bons,bon,good
909,vivant,vivant,alive
910,ciel,ciel,sky
911,lu,lire,read
912,touche,toucher,touches
913,aimer,aimer,to love
914,télé,télé,TV
915,met,mettre,puts
916,écouter,écouter,to listen
917,serez,être,you will be
918,pourtant,pourtant,however
919,change,changer,changes
920,triste,triste,sad
921,droite,droit,right
922,gueule,gueule,mouth
923,tombe,tomber,falls
924,sentir,sentir,to feel
925,ouvrir,ouvrir,to open
926,travers,travers,across
927,santé,santé,health
928,dossier,dossier,file
929,jeunes,jeune,young people
930,coucher,coucher,to go to bed
931,cuisine,cuisine,kitchen
932,monte,monter,goes up
933,signifie,signifier,means
934,entrez,entrer,come in
935,relation,relation,relation
936,centre,centre,center
937,dame,dame,lady
938,chacun,chacun,each one
939,chanson,chanson,song
940,foutre,foutre,to hell with
941,voler,voler,to steal
942,blanc,blanc,white
943,certain,certain,certain
944,don,don,gift
945,âme,âme,soul
946,manière,manière,way
947,flic,flic,cop
948,décision,décision,decision
949,mange,manger,eats
950,vit,vivre,lives
951,compagnie,compagnie,company
952,déjeuner,déjeuner,lunch
953,différent,différent,different
954,tire,tirer,pulls
955,ordres,ordre,orders
956,clé,clé,key
957,vaisseau,vaisseau,ship
958,secondes,seconde,seconds
959,enfer,enfer,hell
960,sortez,sortir,get out
961,vendre,vendre,to sell
962,faisais,faire,was doing
963,responsable,responsable,responsible
964,mecs,mec,guys
965,nulle,nul,bad
966,signe,signe,sign
967,lieutenant,lieutenant,lieutenant
968,aille,aller,may go
969,acheté,acheter,bought
970,diable,diable,devil
971,viennent,venir,come
972,étrange,étrange,strange
973,monter,monter,to go up
974,capable,capable,capable
975,emmener,emmener,to take along
976,écrire,écrire,to write
977,honte,honte,shame
978,bouche,bouche,mouth
979,préfère,préférer,prefers
980,coupable,coupable,guilty
981,rire,rire,to laugh
982,payé,payer,paid
983,soin,soin,care
984,milieu,milieu,middle
985,appartement,appartement,apartment
986,prochain,prochain,next
987,cerveau,cerveau,brain
988,blague,blague,joke
989,choisi,choisir,chosen
990,époque,époque,era
991,aurez,avoir,you will have
992,voie,voie,way
993,réunion,réunion,meeting
994,connu,connaître,known
995,allée,allée,path
996,intérêt,intérêt,interest
997,cheval,cheval,horse
998,combat,combat,combat
999,silence,silence,silence
1000,coups,coup,hits
